Team Name,Logo Link,Twitter,TikTok,Youtube,Twitch,,,,,TEAM 10
BROCROCROS,https://rlesport.gg/downloads/org_logos/default_team.jpg,,,,,,,,,
BTF ESPORTS,https://rlesport.gg/downloads/org_logos/btf.png,,,,,,,,,
BULLETPROOF,https://rlesport.gg/downloads/org_logos/default_team.jpg,,,,,,,,,
CELESTIAL VANGUARD,https://rlesport.gg/downloads/org_logos/celestial.png,,,,,,,,,
CHOCCARANILLA,https://rlesport.gg/downloads/org_logos/choccaranilla.png,,,,,,,,,
COSMICO ESPORTS,https://rlesport.gg/downloads/org_logos/cosmico.png,,,,,,,,,
CRAZY TIME,https://rlesport.gg/downloads/org_logos/crazytime.png,,,,,,,,,
CRISTOBAL COLON,https://rlesport.gg/downloads/org_logos/cristobal.png,https://x.com/CColonEsports,,,,,,,,
DALA WHAT YOU MUST,https://rlesport.gg/downloads/org_logos/default_team.jpg,,,,,,,,,
DAPPER DOGS,https://rlesport.gg/downloads/org_logos/dapperdogs.png,,,,,,,,,
DEATH CLOUD ESPORTS,https://rlesport.gg/downloads/org_logos/deathcloud.png,https://x.com/DeathCloudORG,https://www.tiktok.com/@death_cloud_esports,,https://www.twitch.tv/DeathCloudEsports,,,,,
DECIMATE GAMING,https://rlesport.gg/downloads/org_logos/decimate.png,,,,,,,,,
DECLAN,https://rlesport.gg/downloads/player_pics/declan.jpg,,,,,,,,,
DIGITAL DEVILS,https://rlesport.gg/downloads/org_logos/digitaldevils.png,,,,,,,,,
DNMK ESPORTS,https://rlesport.gg/downloads/org_logos/dnmk.png,,,,,,,,,
DRAIN GNG,https://rlesport.gg/downloads/org_logos/default_team.jpg,,,,,,,,,
DRIFT QUEENS,https://rlesport.gg/downloads/org_logos/default_team.jpg,,,,,,,,,
DUNNO CHIEF,https://rlesport.gg/downloads/org_logos/default_team.jpg,,,,,,,,,
EVOLVED GAMING,https://rlesport.gg/downloads/org_logos/evolved.png,,,,,,,,,
EXOTIC ESPORTS,https://rlesport.gg/downloads/org_logos/exotic.png,,,,,,,,,
EXPANDAS,https://rlesport.gg/downloads/org_logos/expandas.png,,,,,,,,,
FIRE HAWKS,https://rlesport.gg/downloads/org_logos/firehawks.png,,,,,,,,,
FISH,https://rlesport.gg/downloads/org_logos/default_team.jpg,,,,,,,,,
FIVE FEARS,https://rlesport.gg/downloads/org_logos/fivefears.png,https://x.com/FiveFears,,https://www.youtube.com/@FiveFears,https://www.twitch.tv/fivefearstv,,,,,
FREESTYLE NOOBS,https://rlesport.gg/downloads/org_logos/default_team.jpg,,,,,,,,,
FRENCH CLASS,https://rlesport.gg/downloads/org_logos/frenchclass.png,,,,,,,,,
FUT ESPORTS,https://rlesport.gg/downloads/org_logos/fut.png,https://x.com/futesportsgg,,,https://www.twitch.tv/futbolistco,,,,,
FUZION ESPORT,https://rlesport.gg/downloads/org_logos/fuzion.png,,,,,,,,,
GEEKAY ESPORTS,https://rlesport.gg/downloads/org_logos/geekay.png,https://x.com/geekayrl,,,https://www.twitch.tv/geekayesports,,,,,
GENESIX,https://rlesport.gg/downloads/org_logos/genesix.png,,,,,,,,,
GLADIATORS,https://rlesport.gg/downloads/org_logos/gladiators.png,,,,,,,,,
GOOBER GANG,https://rlesport.gg/downloads/org_logos/default_team.jpg,,,,,,,,,
GUNZ,https://rlesport.gg/downloads/player_pics/gunz.jpg,,,,,,,,,
HAIBO,https://rlesport.gg/downloads/org_logos/haibo.png,,,,,,,,,
HEY (WITH RIZZ),https://rlesport.gg/downloads/org_logos/hey.png,,,,,,,,,
HIGH BORN KILLERS,https://rlesport.gg/downloads/org_logos/highborn.png,,,,,,,,,
ICE ESPORTS,https://rlesport.gg/downloads/org_logos/ice.png,,,,,,,,,
INFERNO,https://rlesport.gg/downloads/org_logos/default_team.jpg,,,,,,,,,
INSANITY,https://rlesport.gg/downloads/org_logos/default_team.jpg,,,,,,,,,
IVAN.,https://liquipedia.net/commons/images/3/31/Ivan_SFL_Season_10.jpg,,,,,,,,,
KAM,https://rlesport.gg/downloads/player_pics/kam.jpg,,,,,,,,,
KARMINE CORP,https://rlesport.gg/downloads/org_logos/kc.png,https://x.com/KarmineCorp,,,,,,,,
KITSUNE,https://rlesport.gg/downloads/org_logos/default_team.jpg,,,,,,,,,
LAZYBEAR,https://liquipedia.net/commons/images/a/a9/Lazybear.jpg,,,,,,,,,
LE BOSH,https://rlesport.gg/downloads/org_logos/lebosh.png,,,,,,,,,
LICKSE,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,,
LIMITLESS,https://rlesport.gg/downloads/org_logos/limitless.png,,,,,,,,,
LMR LEGENDS,https://rlesport.gg/downloads/org_logos/lmrlegends.png,,,,,,,,,
LOOKING FOR ORGANIZATION,https://rlesport.gg/downloads/org_logos/default_team.jpg,,,,,,,,,
LOS ANGELES SIGNAL,https://rlesport.gg/downloads/org_logos/las.png,,,,,,,,,
LOST LEGION BENCHWARMERS,https://rlesport.gg/downloads/org_logos/benchwarmers.png,,,,,,,,,
LOST LEGION GHOSTS,https://rlesport.gg/downloads/org_logos/ghosts.png,,,,,,,,,
LOST LEGION GIANTS,https://rlesport.gg/downloads/org_logos/giants.png,,,,,,,,,
LUMINOSITY,https://rlesport.gg/downloads/org_logos/luminosity.png,,,,,,,,,
LUPO ROSSO,https://rlesport.gg/downloads/org_logos/lupo.png,,,,,,,,,
M8 ALPINE,https://rlesport.gg/downloads/org_logos/m8.png,https://x.com/gentlemates,,,,,,,,
MAESTROS DEL ESFERICO,https://rlesport.gg/downloads/org_logos/maestros.png,,,,,,,,,
MANIACS,https://rlesport.gg/downloads/org_logos/maniacs.png,,,,,,,,,
MAY CONTAIN NUTS,https://rlesport.gg/downloads/org_logos/default_team.jpg,,,,,,,,,
MILLENNIAL TIMES GAMING,https://rlesport.gg/downloads/org_logos/millennial.png,,,,,,,,,
MILS ESPORTS,https://rlesport.gg/downloads/org_logos/mils.png,,,,,,,,,
MIST,https://rlesport.gg/downloads/org_logos/mist.png,,,,,,,,,
MONARCH REALM,https://rlesport.gg/downloads/org_logos/monarch.png,https://x.com/MonarchRealm,,,,,,,,
MOTION,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,,
MUSTU FLUCK,https://rlesport.gg/downloads/org_logos/mustu.png,,,,,,,,,
MYTHICX ESPORTS,https://rlesport.gg/downloads/org_logos/mythicx.png,,,,,,,,,
NETTSPEND TEMU,https://rlesport.gg/downloads/org_logos/default_team.jpg,,,,,,,,,
NEW DOGS OLD TRICKS,https://rlesport.gg/downloads/org_logos/default_team.jpg,,,,,,,,,
NIBBLE ESPORTS,https://rlesport.gg/downloads/org_logos/nibble.png,,,,,,,,,
NIGEL'S LIGHTIES,https://rlesport.gg/downloads/org_logos/default_team.jpg,,,,,,,,,
NIXUH,https://rlesport.gg/downloads/org_logos/nixuh.png,,,,,,,,,
NKANDLA STYLE,https://rlesport.gg/downloads/org_logos/default_team.jpg,,,,,,,,,
NKOSI BALLERS,https://rlesport.gg/downloads/org_logos/nkosi.png,,,,,,,,,
NUQQET,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,,
NXT AQUAVITESSE,https://rlesport.gg/downloads/org_logos/nxt.png,,,,,,,,,
OFA,https://rlesport.gg/downloads/org_logos/default_team.jpg,,,,,,,,,
OG ESPORTS,https://rlesport.gg/downloads/org_logos/og.png,,,,,,,,,
OLD DOGS NEW TRICKS,https://rlesport.gg/downloads/org_logos/default_team.jpg,,,,,,,,,
OMEN ESPORTS,https://rlesport.gg/downloads/org_logos/omen.png,https://x.com/OmenEsports_,,,,,,,,
OMNIUS GAMING,https://rlesport.gg/downloads/org_logos/omnius.png,https://x.com/omnius_gaming,,https://www.youtube.com/channel/UC6ABCN9UmCsIfqXk45B03FQ,https://www.twitch.tv/omniusgaming,,,,,
ONLYPHANS,https://rlesport.gg/downloads/org_logos/default_team.jpg,,,,,,,,,
ORGLESS,https://rlesport.gg/downloads/org_logos/orgless.png,,,,,,,,,
ORLANDO PIRATES,https://rlesport.gg/downloads/org_logos/pirates.png,,,,,,,,,
OUT OF RETIREMENT,https://rlesport.gg/downloads/org_logos/oor.png,,,,,,,,,
OWNED ESPORT,https://rlesport.gg/downloads/org_logos/owned.png,,,,,,,,,
OX GAMING,https://rlesport.gg/downloads/org_logos/oxgaming.png,https://x.com/OxGaming_Off,,,https://www.twitch.tv/officialoxgaming,,,,,
PERRYSAGENTS,https://rlesport.gg/downloads/org_logos/default_team.jpg,,,,,,,,,
PIONEERS,https://rlesport.gg/downloads/org_logos/pioneers.png,https://x.com/PioneersGG,,https://youtube.com/@pioneersgg?si=NN1HE813igO3_QWc,https://www.twitch.tv/pioneersgg,,,,,
POMINO'S DIZZA,https://rlesport.gg/downloads/org_logos/default_team.jpg,,,,,,,,,
PONEY NO JUTSU,https://rlesport.gg/downloads/org_logos/poney.png,,,,,,,,,
PRETTY BUNZ,https://rlesport.gg/downloads/org_logos/default_team.jpg,,,,,,,,,
PROJECT ONE,https://rlesport.gg/downloads/org_logos/projectone.png,,,,,,,,,
PSV EINDHOVEN,https://rlesport.gg/downloads/org_logos/default_team.jpg,,,,,,,,,
PWB,https://rlesport.gg/downloads/org_logos/default_team.jpg,,,,,,,,,
QUASAR,https://rlesport.gg/downloads/org_logos/quasar.png,,,,,,,,,
RAPAZIADA 1906,https://rlesport.gg/downloads/org_logos/rapaziada.png,,,,,,,,,
RAVIOLI,https://rlesport.gg/downloads/player_pics/ravi.jpg,,,,,,,,,
RED CROWN ESPORTS,https://rlesport.gg/downloads/org_logos/redcrown.png,,,,,,,,,
REFORMED,https://rlesport.gg/downloads/org_logos/reformed.png,,,,,,,,,
RELENTLESS,https://rlesport.gg/downloads/org_logos/relentless.png,,,,,,,,,
RENEGADES,https://rlesport.gg/downloads/org_logos/default_team.jpg,,,,,,,,,
REVERSE OREO,https://rlesport.gg/downloads/org_logos/default_team.jpg,,,,,,,,,
REVEZY,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,,
ROUNDS,https://rlesport.gg/downloads/org_logos/rounds.png,https://x.com/RoundsGG,,https://www.youtube.com/@roundsgg,https://www.twitch.tv/roundsgg,,,,,
ROYALTY ESPORTS,https://rlesport.gg/downloads/org_logos/royalty.png,,,,,,,,,
SENBEI STRIKERS,https://rlesport.gg/downloads/org_logos/default_team.jpg,,,,,,,,,
SESAME STREET BALLERS,https://rlesport.gg/downloads/org_logos/default_team.jpg,,,,,,,,,
SHMONGOLIA,https://rlesport.gg/downloads/org_logos/default_team.jpg,,,,,,,,,
SNAKES DEN,https://rlesport.gg/downloads/org_logos/snakesden.png,,,,,,,,,
SNOWYY,https://rlesport.gg/downloads/player_pics/Snowyy.jpg,,,,,,,,,
SPACESTATION,https://rlesport.gg/downloads/org_logos/ssg.png,https://x.com/Spacestation,,,https://www.twitch.tv/Spacestation,,,,,
SPANISH PAP EN WORS,https://rlesport.gg/downloads/org_logos/default_team.jpg,,,,,,,,,
SRZ,https://rlesport.gg/downloads/org_logos/default_team.jpg,,,,,,,,,
STM,https://rlesport.gg/downloads/org_logos/default_team.jpg,,,,,,,,,
STR1VE ESPORTS,https://rlesport.gg/downloads/org_logos/str1ve.png,https://x.com/str1veesports,https://www.tiktok.com/@str1veesports,https://www.youtube.com/@Str1veeSports,https://www.twitch.tv/str1veesports,,,,,
STRASKIBIDI,https://rlesport.gg/downloads/org_logos/default_team.jpg,,,,,,,,,
STRIKER,https://rlesport.gg/downloads/org_logos/default_team.jpg,,,,,,,,,
SUNMOON ESPORT,https://rlesport.gg/downloads/org_logos/sunmoon.png,,,,,,,,,
SUPERSONIC LEGENDS,https://rlesport.gg/downloads/org_logos/default_team.jpg,,,,,,,,,
SUZAKU,https://rlesport.gg/downloads/org_logos/default_team.jpg,,,,,,,,,
SWEATY,https://rlesport.gg/downloads/player_pics/Sweaty.jpg,,,,,,,,,
SWEATY'S CHILDREN,https://rlesport.gg/downloads/org_logos/default_team.jpg,,,,,,,,,
SYNERGY GAMING,https://rlesport.gg/downloads/org_logos/default_team.jpg,,,,,,,,,
SYNTHESIS,https://rlesport.gg/downloads/org_logos/synthesis.png,https://x.com/SynthesisENMT,https://www.tiktok.com/@synthesisenmt,https://www.youtube.com/@synthesisenmt,,,,,,
SZ5,https://rlesport.gg/downloads/org_logos/default_team.jpg,,,,,,,,,
T2G ESPORTS,https://rlesport.gg/downloads/org_logos/t2g.png,https://x.com/THRIVE2GREATNES,,,,,,,,
TEAM 10,https://rlesport.gg/downloads/org_logos/default_team.jpg,https://x.com/WeConfide,,,,,,,,
TEAM BDS,https://rlesport.gg/downloads/org_logos/bds.png,,,,,,,,,
TEAM BONI,https://rlesport.gg/downloads/org_logos/default_team.jpg,,,,,,,,,
TEAM ESPIONAGE,https://rlesport.gg/downloads/org_logos/espionage.png,,,,,,,,,
TEAM FLOEPPA,https://rlesport.gg/downloads/org_logos/floeppa.png,,,,,,,,,
TEAM FUSION,https://rlesport.gg/downloads/org_logos/fusion.png,,,,,,,,,
TEAM HSK,https://rlesport.gg/downloads/org_logos/hsk.png,https://x.com/TeamHSKgg,,,https://www.twitch.tv/teamhskgg,,,,,
TEAM MOBULA,https://rlesport.gg/downloads/org_logos/mobula.png,,,,,,,,,
TEAM SECRET,https://rlesport.gg/downloads/org_logos/secret.png,https://x.com/teamsecret,,,https://www.twitch.tv/team/teamsecret,,,,,
TEAM TKO,https://rlesport.gg/downloads/org_logos/tko.png,,,,,,,,,
THE BROS,https://rlesport.gg/downloads/org_logos/bro.png,https://x.com/BRO_RL_,,,,,,,,
THE CLUB,https://rlesport.gg/downloads/org_logos/club.png,,,,,,,,,
THE ELITES,https://rlesport.gg/downloads/org_logos/elites.png,,,,,,,,,
THE PUNISHERS,https://rlesport.gg/downloads/org_logos/punishers.png,https://x.com/Punishers_Team,https://www.tiktok.com/@punishers_org,https://www.youtube.com/@ThePunishersTeam,,,,,,
THE WAVE,https://rlesport.gg/downloads/org_logos/thewave.png,,,,,,,,,
TKO X1,https://rlesport.gg/downloads/org_logos/tko.png,,,,,,,,,
TRADUIS SI TU PUES,https://rlesport.gg/downloads/org_logos/default_team.jpg,,,,,,,,,
TRI-FECTA,https://rlesport.gg/downloads/org_logos/trifecta.png,,,,,,,,,
TRIPLE B,https://rlesport.gg/downloads/org_logos/default_team.jpg,,,,,,,,,
TSM,https://rlesport.gg/downloads/org_logos/tsm.png,,,,,,,,,
TWISTED MINDS,https://rlesport.gg/downloads/org_logos/twisted.png,https://x.com/TwisMinds,,,,,,,,
UNITY,https://rlesport.gg/downloads/org_logos/unity.png,https://x.com/UnityZAofficial,,,https://www.twitch.tv/unity_esports_za,,,,,
UNKNOWN GOATS,https://rlesport.gg/downloads/org_logos/default_team.jpg,,,,,,,,,
VALKYRIE KNIGHTS,https://rlesport.gg/downloads/org_logos/valkyrie.png,,,,,,,,,
VENDETTA ESPORTS,https://rlesport.gg/downloads/org_logos/vendetta.png,,,,,,,,,
VERSION1,https://rlesport.gg/downloads/org_logos/v1.png,,,,,,,,,
WATER,https://rlesport.gg/downloads/org_logos/default_team.jpg,,,,,,,,,
WE LOVE FARMING,https://rlesport.gg/downloads/org_logos/default_team.jpg,,,,,,,,,
WE'LL HAVE A LOOK,https://rlesport.gg/downloads/org_logos/default_team.jpg,,,,,,,,,
WHITE RABBIT GAMING,https://rlesport.gg/downloads/org_logos/wrg.png,https://x.com/WRabbitGaming,,https://youtube.com/@wrabbitgaming?si=C3e6DTzKjzzNgVsZ,,,,,,
WIIILOOO,https://rlesport.gg/downloads/player_pics/wiiilooo.jpg,,,,,,,,,
WILDCARD,https://rlesport.gg/downloads/org_logos/wildcard.png,https://x.com/Wildcard_GG,,,https://www.twitch.tv/wildcardgamingtv,,,,,
WORLD OF TANKS,https://rlesport.gg/downloads/org_logos/default_team.jpg,,,,,,,,,
YANKEES WITH NO BRIM,https://rlesport.gg/downloads/org_logos/default_team.jpg,,,,,,,,,
YOUNG MONEY CLAN,https://rlesport.gg/downloads/org_logos/ymc.png,,,,,,,,,
