Unique ID,Primary Handle,All Aliases,AKA,Real Name,Pronounciation,Date of Birth,Country,Twitch,Tiktok,Twitter,Photo URL,,,,,,,,
SSA-P-10023,grape,,,Alex Daneels,,14/01/2002,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,Peanuts���,EXISTS,OCE,,,
SSA-P-10024,h4mburger,,,Herman de Beer,,06/01/2000,South Africa,https://www.twitch.tv/h4mburger,,,https://rlesport.gg/downloads/player_pics/H4mburger.jpg,,,Waarheid.,EXISTS,OCE,,,
SSA-P-10025,Happymeal,,,David du Plessis,,13/10/1999,South Africa,,,,https://rlesport.gg/downloads/player_pics/happymeal.jpg,,,Appelsous,EXISTS,OCE,,,
SSA-P-10026,Jerome in da bath,Meliodas,,,,27/05/2002,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,kayvee,EXISTS,OCE,,,
SSA-P-10027,josho,josho.,,Josh Metcalf,,13/09/2005,South Africa,https://www.twitch.tv/joshorl,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,Lorax,EXISTS,OCE,,,
SSA-P-10028,JTW,,,Jordyn Wareing,,,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,mass,EXISTS,OCE,,,
SSA-P-10029,JustSpecs,Specs,Specs,Jason Rabe,,,South Africa,https://www.twitch.tv/truespecs,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,olam06,EXISTS,OCE,,,
SSA-P-10030,JWх,JW��,,Josh Watson,,,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,Wee_Casper,EXISTS,OCE,,,
SSA-P-10031,Kam,"kamz,daisy,daisy.,daisyy,kam,kam.",Daisy,Kamran Naidoo,,01/11/2004,South Africa,,,,https://rlesport.gg/downloads/player_pics/kam.jpg,,,gunz,EXISTS,SAM,,,
SSA-P-10032,Kenobiwan10x_x,,,,,,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,Snowyy,EXISTS,SAM,,,
SSA-P-10033,KneeKnow,,,,,,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,S��lly.,EXISTS,SAM,,,
SSA-P-10034,Lackstar,"lackstar.,lacks���ar.,lacks†ar.",,Joel Amos,,29/01/2003,South Africa,,,,https://rlesport.gg/downloads/player_pics/lackstar.jpg,,,tehqoz,EXISTS,SAM,,,"Formula to check for exisitng: =IF(ISBLANK(F2), """", IF(OR(COUNTIF(B:B, F2) > 0, COUNTIF(C:C, ""*""&F2&""*"") > 0), ""EXISTS"", ""NEW PLAYER""))"
SSA-P-10035,li0n,"li0n,li0n_za",,Leon Havenga,,,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,tykop,EXISTS,SAM,,,
SSA-P-10036,LmNs.,,,,,,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,Yab ��,EXISTS,SAM,,,
SSA-P-10037,Lucid.,,,Shawn Engelbrecht,,,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,Dapz,EXISTS,SAM,,,
SSA-P-10038,Maelstrom9508,,,Keorapetse Theo,,21/10/2004,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,Dcln.,EXISTS,SAM,,,
SSA-P-10039,Mr.Low,"low,Mr.Low,Lowkaku,Mr.Low",Lowkaku,Lorenzo Fransman,,12/11/1999,South Africa,,,,https://rlesport.gg/downloads/player_pics/mrlow.jpg,,,mshnn.,EXISTS,SAM,,,
SSA-P-10040,MrWacky,,,,,,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,TORRES8232,EXISTS,,,,
SSA-P-10041,NeroxK92,,,,,,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,Werty,EXISTS,,,,
SSA-P-10042,Olympic,"olympicracer,olympic.",Olympicracer,Oliver Gaenssler,,08/05/2003,South Africa,https://www.twitch.tv/itsner0x,,,https://rlesport.gg/downloads/player_pics/olympic.jpg,,,Zany,EXISTS,,,,
SSA-P-10043,PoRRa07,,,,,,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,carca,EXISTS,,,,
SSA-P-10044,PwnFlakes,,,Dwayne Van Der Merwe,,,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,kam,EXISTS,,,,
SSA-P-10045,Ram,"Paarthurnax.,Ram RanchYT",Paarthurnax,Nicodemos Christodoulou,,dd/mm/2003,South Africa,,,,https://rlesport.gg/downloads/player_pics/ram.jpg,,,N1TR��.,EXISTS,,,,
SSA-P-10046,RisenEclipse,Risen,Risen,Ruan van Wyk,,,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10047,Rocky,,,Gareth Stones,,20/12/2004,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10048,Rowen,,,Rowen Conradie,,,South Africa,,,,https://rlesport.gg/downloads/player_pics/rowen.jpg,,,,,,,,
SSA-P-10049,SchalkG,,,Schalk Geldenhuys,,04/01/2005,South Africa,,,,https://rlesport.gg/downloads/player_pics/SchalkG.jpg,,,,,,,,
SSA-P-10050,Septer,,,Jordan Thomson,,01/07/2002,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10051,shotzyy,,,Hamza Ebrahim,,24/04/2002,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10052,Sickii,,,,,,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10053,SkillSteal,,,Niel-Robert Burger,,14/11/1996,South Africa,https://www.twitch.tv/skillsteal_rl,,,https://liquipedia.net/commons/images/3/32/Orlando_Pirates_Exdee_-_SkillSteal.jpg,,,,,,,,
SSA-P-10054,Snowyy,"Snowadore,Cherry,Snowadore, Snowyy","Snowadore,Cherry",Gareth Spiers,,12/07/2000,South Africa,https://www.twitch.tv/snowadore,,,https://rlesport.gg/downloads/player_pics/snowyy.jpg,,,,,,,,
SSA-P-10055,Strutic,baz,,Aidan Molnar,,23/05/2006,South Africa,,,,https://rlesport.gg/downloads/player_pics/strutic.jpg,,,,,,,,
SSA-P-10056,Sweaty,"Sweaty_Clarence,Sweaty.,Sweaty_,Gavin, Sweaty",Sweaty_Clarence,Joshua Kleynhans,,07/08/2005,South Africa,,,,https://rlesport.gg/downloads/player_pics/Sweaty.jpg,,,,,,,,
SSA-P-10057,TechnicEagle75,T3chnic.,T3chnic.,Raynard van Loggerenberg,,,South Africa,,,,https://rlesport.gg/downloads/player_pics/technic.jpg,,,,,,,,
SSA-P-10058,TheKeychain22,,,,,,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10059,TimmyJS,,,Timothy Santos,,11/10/1997,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10060,Wee_Casper,Wee_Casper.exe,,Logan Mac Intosh,,03/06/2003,South Africa,https://www.twitch.tv/wee_casper,,,https://liquipedia.net/commons/images/6/6e/Wee_Casper_VS_Gaming_2025.jpg,,,,,,,,
SSA-P-10061,Werty ^^,Werty,,Umar Rasool,,20/10/2002,South Africa,,,,https://rlesport.gg/downloads/player_pics/Werty.jpg,,,,,,,,
SSA-P-10062,xBlueDragon,,,,,,Reunion,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10063,Haiko,,,,,,France,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10064,YoPeGo!,"YoPeGo..,YoPeGo.exe,YoPeGo,YoPeGo!,YoPeGo?,YoPeGo!,YoPeGo.,YoPeGo",,Joshua van der Merwe,,27/05/1999,South Africa,https://www.twitch.tv/YoPeGo,,,https://rlesport.gg/downloads/player_pics/yopego.jpg,,,,,,,,
SSA-P-10065,Yujn.,,,Lawrence Haigh,,15/02/1994,South Africa,https://www.twitch.tv/yujn_,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10066,Zero,,,Kyle Albertyn,,,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10067,5bs,"5bs.,5bs., 5bs",,Bjorn Smulders,,12/11/2004,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10068,boy974s,,,Hassan Techer,,25/11/2001,Reunion,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10069,Wiiilooo,Wiiloo,,Enzo Tremblay,,01/08/2005,Reunion,https://www.twitch.tv/wiiilooorl,,,https://rlesport.gg/downloads/player_pics/wiiilooo.jpg,,,,,,,,
SSA-P-10070,ckeno,"ckeno(?),ckeno,ckeno.",,,,14/10/2005,United States,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10071,amogus,"Wmogus,amogus.sugoma,amogus 6.9,amogusrl,sugoma, amogus, amugis.,amogus lean user",,,,,South Africa,https://www.twitch.tv/AmogusWithNoBrim,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10072,Trstn,"trstxnz,Trstn_szn.,autumnar trstn.,itstrstn.,Tristiano Swartznaldo","autumnar trstn,Tristiano",Tristan Swartz,,12/05/2006,South Africa,,,,https://rlesport.gg/downloads/player_pics/trstn.jpg,,,,,,,,
SSA-P-10073,KingRichard 2004,,,Richard Hein,,03/01/2004,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10074,Zeph,"Zeph .,Zeph.",,Chris de Beer,,15/08/2006,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10075,Karma,Karma.,,Ludovic Dijoux,,,Reunion,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10076,Dapz,"Dapz,AE Dapz,Dapz���,Dapz,Dapz., Dapz.,Dapz,ll Adapz ll,Dapz (broken controller),Dapz,., Dapz",Adapz,Tertius Crafford,,28/07/2003,South Africa,https://www.twitch.tv/DapzRL,,,https://rlesport.gg/downloads/player_pics/dapz.png,,,,,,,,
SSA-P-10077,Serenity,"SerenityEZ,icp Serenity",,,,,South Africa,,,,https://rlesport.gg/downloads/player_pics/serenity.jpg,,,,,,,,
SSA-P-10078,ballim,"vvsBallim,ballim.✰,777ballim, Ballim",,,,,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10079,Casesleet,Casesleet DS,,,,,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10080,Clarry.,,,,,,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10081,Galaxyyyy,"Galaxy,CLK,BlizzardZA,galaxy ���","CLK,BlizzardZA",Adrian Rautenbach,,18/09/2006,South Africa,https://www.twitch.tv/galaxyyyrl,,,https://rlesport.gg/downloads/player_pics/galaxyy.png,,,,,,,,
SSA-P-10082,SYRllX,"SYRllX_,SYRiiX.",,Benjamin Roger,,09/11/2000,Reunion,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10083,Potato,"Potatowithagun,PotatoWithaGun",PotatoWithaGun,Milan Kruger,,09/01/2004,South Africa,https://www.twitch.tv/potatowithagun1,,,https://rlesport.gg/downloads/player_pics/potato.jpg,,,,,,,,
SSA-P-10084,pnda,pnda.,,Lenny Techer,,30/12/2004,Reunion,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10085,Dillawave,"Dillawave���������,Dillawave.",,Adrien Dijoux,,31/12/2003,Reunion,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10086,A8CH,,,,,,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10087,Dcln,"��cln,Declan.���,0 IQ Dcln,Dcln.���,declan. ���",declan,Declan Gierz,,08/05/2007,South Africa,https://www.twitch.tv/itsdecllan,,,https://rlesport.gg/downloads/player_pics/declan.png,,,,,,,,
SSA-P-10088,Eggnogg,,,,,,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10089,Noxya,,,,,,Reunion,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10090,Erratic,Erratic.,,Michael de Villiers,,12/08/1998,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10091,Jeff,"Jeff���,Jef����,J��ff,Liftyss,UNITY SUB",Liftyss,Jayden Dunford,,23/05/2006,South Africa,https://www.twitch.tv/za_jeff,,,https://rlesport.gg/downloads/player_pics/jeff.jpg,,,,,,,,
SSA-P-10092,Modezy,,,,,,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10093,DivDK,,,,,,France,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10094,Sauce.,,,,,,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10095,Nuke,,,Luke Fowkes,,03/07/2003,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10096,Hireo,,,,,,France,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10097,Kasumi_Momoshiro,,,,,,Reunion,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10098,claude974,,,,,,Reunion,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10099,Physics,Daze,Daze,,,,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10100,SkyGetsu,,,,,,Reunion,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10101,,,,,,,,,,,,,,,,,,,
SSA-P-10102,Impie_sappie,,,Hannes Schlebusch,,,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10103,Shadow (Reunion Player),,,,,,,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10104,loots.-,,,,,,,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10105,Offset,,,,,,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10106,VuDu,,,,,,,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10107,Sub-Zero,,,Matt Louw,,,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10108,Syfohn,"Syfohn.,Syfohn,Syfohn.",,Ross McGrory,,04/12/2002,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10109,NotHappy,,,,,,,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10110,,,,,,,,,,,,,,,,,,,
SSA-P-10111,,,,,,,,,,,,,,,,,,,
SSA-P-10112,eNtiTy,"eNt,eNtiTy,eNtiTy._",,Zander Langley,,21/08/2000,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10113,,,,,,,,,,,,,,,,,,,
SSA-P-10114,,,,,,,,,,,,,,,,,,,
SSA-P-10115,GoldNiNja,,,Brenton Coombe-Davis,,20/08/2002,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10116,motty,,,Jaco Boltman,,,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10117,Gyzow,,,Gijs Verhulst,,25/06/2001,Netherlands,https://www.twitch.tv/gyzowofficial,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10118,Snoozy,snoozy[?],,Sam Evanson,,09/07/2007,South Africa,https://www.twitch.tv/snoozy_za,,,https://rlesport.gg/downloads/player_pics/snoozy.jpg,,,,,,,,
SSA-P-10119,Fatal,fatal ���,,,,,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10120,T3ACHER1,,,Ruan Viljoen,,16/02/2006,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10121,,,,,,,,,,,,,,,,,,,
SSA-P-10122,Xyro,!xyro,,Jacob B.,,dd/mm/2004,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10123,Duklaz,bouj,,Luca Reuben,,21/02/2004,South Africa,,,,https://rlesport.gg/downloads/player_pics/duklaz.jpg,,,,,,,,
SSA-P-10124,N1TRO,"N1TR��.,ntr.������,N!TRO,N1TRØ.",,Amandla D.,,21/08/2005,South Africa,,,,https://rlesport.gg/downloads/player_pics/n1tro.jpg,,,,,,,,
SSA-P-10125,,,,,,,,,,,,,,,,,,,
SSA-P-10126,a n d h y,,,,,,Reunion,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10127,Akay,,,,,,Reunion,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10128,Shadow,,,David Robinson,,17/02/2001,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10129,d-money,d-money._,,Danish Saleem,,,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10130,Dilly,"dylan.���,dylnɥ,Dilly.���",dylan,,,06/02/2008,South Africa,https://www.twitch.tv/dylnrll,,,https://rlesport.gg/downloads/player_pics/dilly.jpg,,,,,,,,
SSA-P-10131,gunz,"Gunzzee,gunzinho,gunz,smallintestine23,gunz,gunz,gunzanga","Gunzanga,smallintestine23",Brayden Keith,,06/11/2006,South Africa,https://www.twitch.tv/gunzanga,,,https://rlesport.gg/downloads/player_pics/gunz.jpg,,,,,,,,
SSA-P-10132,jrs,!JRS,,Jean Ryan Snyman,,23/10/2003,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10133,Mustang,Must������g,,,,,Italy,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10134,BananaCat,,,Hendre de Kock,,17/02/2006,South Africa,,,,https://rlesport.gg/downloads/player_pics/Bananacat.jpg,,,,,,,,
SSA-P-10135,Eclipsy,E��lipsy,,,,,South Africa,,,,https://rlesport.gg/downloads/player_pics/Eclipsy.jpg,,,,,,,,
SSA-P-10136,Heatzy,"HeatzyRL,heatz.",,Yael Martz,,21/07/2005,Reunion,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10137,Riscay,Riscay.,,,,,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10138,Ubertec,Ubertec-_-,,Sébastien Blain,,10/06/2002,Reunion,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10139,Vizion,Vizio��,,,,,Mozambique,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10140,Luna,L������,,,,,South Africa,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10141,Akai,akai.,,,,,Algeria,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10142,Anyeelo,Anyeelo.,,Ángel Méndez Agudo,,10/07/2005,Spain,,,,https://liquipedia.net/commons/images/7/77/Anyeelo.jpeg,,,,,,,,
SSA-P-10143,Mario,atR Mario.,,Mario Martin Garcia,,19/02/2003,Spain,https://www.twitch.tv/maario___,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10144,Bairechuu,"parannoul,Bairechuu,Bairechuu,baw","parannoul,baw",Ignacio Ponce Forastieri,,10/09/2005,Spain,https://www.twitch.tv/bairechuu,,,https://liquipedia.net/commons/images/c/c3/Bairechuu.png,,,,,,,,
SSA-P-10145,BreeZy,BreeZyyyyy.,,,,21/03/2006,South Africa,,,,https://rlesport.gg/downloads/player_pics/breezy.jpg,,,,,,,,
SSA-P-10146,Fusion77,DQ fusion77,,Pedro Alexandre Almeida Pinheiro,,19/06/2003,Portugal,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10147,Lazybear,"lazybear,DQ lazybear,zalo,ZALO$,lzy,lazybear.","lzy,Zalo",Gonçalo dos Santos Costa,,20/06/2004,Portugal,https://www.twitch.tv/lazybeaar,,,https://liquipedia.net/commons/images/a/a9/Lazybear.jpg,,,,,,,,
SSA-P-10148,twnzr,"twnzr.,DQ twnzr,twnzr13",,Maxmilian Rehak,,13/04/2004,Germany,https://www.twitch.tv/twnzr13,,,https://liquipedia.net/commons/images/8/81/Twnzr_2023.jpg,,,,,,,,
SSA-P-10149,Egle,"ezgles,egles.,egleoreo,Egle6teen,eglerll",Egle6teen,Baptiste Angama,,29/08/2007,Reunion,,,,https://rlesport.gg/downloads/player_pics/egle.jpg,,,,,,,,
SSA-P-10150,Floeppa,,,Dani Bekker,,28/02/2003,Netherlands,https://www.twitch.tv/danimeisterrr,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10151,Jarno,,,Jarno Kasbergen,,13/08/2002,Netherlands,,,,https://liquipedia.net/commons/images/a/a0/Jarno_Inside_Esports.jpg,,,,,,,,
SSA-P-10152,lecraM,lecraM!,,Marcel Schilperoort,,14/11/2000,Netherlands,https://www.twitch.tv/lecram_rl,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10153,Limit!,,,,,,,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10154,Motion,"Little MOTION)"",Little MOTION",,William O'Connor,,29/10/2006,England,https://www.twitch.tv/motionrl__,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10155,Marmoan,,,Marnix Boogert,,28/10/2005,Netherlands,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10156,Mass,"mass,massrll",,Massi Farhi,,13/12/2002,Algeria,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10157,Nuqqet,,,Giacomo Tripi,,08/01/2007,England,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
SSA-P-10158,Ozxnn,,,,,,Netherlands,,,,https://rlesport.gg/downloads/player_pics/default_nologo.png,,,,,,,,
